time,imigration,emigration,netMigration,totalMigration,Births,Deaths,natGrowth,totalNatGrowth,totGrowth(migrationplusnatural),baseline,Canada,growthDif,Ontario
2013-12-01,35245,20709,14536,9228622,93311,64521,28790,17232674,43326,8788000,35211866,128912,13558528
2014-03-01,75892,21086,54806,9283428,91423,66901,24522,17257196,79328,8788000,35249639,37773,13562583
2014-06-01,106514,21196,85318,9368746,96708,62627,34081,17291277,119399,8788000,35323533,73894,13582747
2014-09-01,115078,29509,85569,9454315,102468,60871,41597,17332874,127166,8788000,35437435,113902,13617553
2014-12-01,16786,20169,-3383,9450932,93501,68422,25079,17357953,21696,8788000,35559047,121612,13661314
2015-03-01,45369,21358,24011,9474943,90662,73157,17505,17375458,41516,8788000,35575187,16140,13657737
2015-06-01,85623,21466,64157,9539100,96684,63711,32973,17408431,97130,8788000,35611271,36084,13669860
2015-09-01,116198,31441,84757,9623857,101749,60963,40786,17449217,125543,8788000,35702908,91637,13707118
2015-12-01,48739,21737,27002,9650859,93297,66502,26795,17476012,53797,8788000,35822894,119986,13757688
2016-03-01,104053,21413,82640,9733499,91963,69942,22021,17498033,104661,8788000,35871136,48242,13773629
2016-06-01,129614,19966,109648,9843147,96570,64680,31890,17529923,141538,8788000,35970303,99167,13816545
2016-09-01,138192,28608,109584,9952731,102523,62868,39655,17569578,149239,8788000,36109487,139184,13875394
2016-12-01,52410,19360,33050,9985781,92046,69723,22323,17591901,55373,8788000,36258726,149239,13946431
2017-03-01,88804,19646,69158,10054939,90063,75307,14756,17606657,83914,8788000,36314099,55373,13971785
2017-06-01,136300,17986,118314,10173253,95274,66365,28909,17635566,147223,8788000,36398013,83914,14006386
2017-09-01,164982,24313,140669,10313922,100269,64951,35318,17670884,175987,8788000,36545236,147223,14070141
2017-12-01,73873,16923,56950,10370872,92161,71926,20235,17691119,77185,8788000,36721223,175987,14150783
2018-03-01,107907,18824,89083,10459955,89315,78375,10940,17702059,100023,8788000,36798408,77185,14186830
2018-06-01,157970,17814,140156,10600111,95005,68508,26497,17728556,166653,8788000,36898431,100023,14235643
2018-09-01,176052,23764,152288,10752399,99209,66196,33013,17761569,185301,8788000,37065084,166653,14308697
2018-12-01,73693,17292,56401,10808800,90933,72484,18449,17780018,74850,8788000,37250385,185301,14392903
2019-03-01,101573,17561,84012,10892812,88408,74709,13699,17793717,97711,8788000,37325235,74850,14426822
2019-06-01,169875,16407,153468,11046280,94318,69502,24816,17818533,178284,8788000,37422946,97711,14467552
2019-09-01,198934,23027,175907,11222187,99934,67033,32901,17851434,208808,8788000,37601230,178284,14544701
2019-12-01,97906,15233,82673,11304860,90541,74251,16290,17867724,98963,8788000,37810038,208808,14636131
2020-03-01,81746,16417,65329,11370189,88700,76848,11852,17879576,77181,8788000,37909001,98963,14686092
2020-06-01,13041,5267,7774,11377963,91884,78674,13210,17892786,20984,8788000,37986182,77181,14718133
2020-09-01,12597,11892,705,11378668,94972,70601,24371,17917157,25076,8788000,38007166,20984,14726022
2020-12-01,43655,11319,32336,11411004,85406,81340,4066,17921223,36402,8788000,38007048,-118,14721852
2021-03-01,90440,16076,74364,11485368,86683,80124,6559,17927782,80923,8788000,38043450,36402,14740102
2021-06-01,97366,15393,81973,11567341,94552,74400,20152,17947934,102125,8788000,38124373,80923,14773618
2021-09-01,198633,23000,175633,11742974,99084,74742,24342,17972276,199975,8788000,38226498,102125,14809257
2021-12-01,105607,22668,82939,11825913,89402,82676,6726,17979002,89665,8788000,38426473,199975,14901607
2022-03-01,148070,18114,129956,11955869,86743,87917,-1174,17977828,128782,8788000,38516138,89665,14940912
2022-06-01,286238,16933,269305,12225174,93563,77886,15677,17993505,284982,8788000,38644920,128782,14996014
2022-09-01,365625,24959,340666,12565840,98438,76651,21787,18015292,362453,8788000,38929902,284982,15109416
2022-12-01,285792,18162,267630,12833470,90292,84029,6263,18021555,273893,8788000,39292355,362453,15262660
2023-03-01,,,,,,,,,,,39566248,273893,15386407
