"Population estimates, July 1, by census division, 2016 boundaries 1 2 3 4 5 6"
"Frequency: Annual"
"Table: 17-10-0139-01"
"Release date: 2023-01-11"
"Geography: Canada, Province or territory, Census division"
""
""

"Sex","Both sexes",,,,,,,,,,,,,,,,,,,,,
"Age group 7","All ages",,,,,,,,,,,,,,,,,,,,,
"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
,"Persons",,,,,,,,,,,,,,,,,,,,,
"Canada","31,020,902","31,360,079","31,644,028","31,940,655","32,243,753","32,571,174","32,889,025","33,247,118","33,628,895","34,004,889","34,339,328","34,714,222","35,082,954","35,437,435","35,702,908","36,109,487","36,545,236","37,065,084","37,601,230","38,007,166","38,226,498","38,929,902"
"Laval, Quebec","350,373","354,478","358,747","363,166","367,504","372,371","377,924","384,812","391,718","399,366","405,926","411,052","415,444","418,726","421,393","425,461","429,753","435,099","439,583","442,574","443,093","446,476"
"Montréal, Quebec","1,850,146","1,863,666","1,867,579","1,869,187","1,868,803","1,873,025","1,872,307","1,876,895","1,893,050","1,904,780","1,913,756","1,926,827","1,939,692","1,949,425","1,950,025","1,959,014","1,986,067","2,028,244","2,066,038","2,072,234","2,024,806","2,038,845"
"Roussillon, Quebec","149,470","151,429","153,846","156,426","158,663","161,225","163,248","166,058","168,569","171,360","173,733","175,581","177,433","178,743","180,484","182,587","185,253","188,914","192,466","194,947","197,060","199,870"
"Les Jardins-de-Napierville, Quebec","23,277","23,430","23,432","23,806","24,006","24,404","24,922","25,336","25,601","26,151","26,518","26,843","27,097","27,211","27,674","28,346","29,076","30,127","30,624","30,928","31,927","32,676"
"Le Haut-Saint-Laurent, Quebec","24,931","24,986","25,053","25,134","25,127","25,035","24,795","24,608","24,534","24,471","24,465","24,245","24,085","24,004","23,744","23,733","23,989","24,092","24,208","24,562","25,236","25,782"
"Beauharnois-Salaberry, Quebec","60,292","60,384","60,664","60,741","61,022","61,161","61,492","61,561","61,800","62,012","62,526","62,712","63,242","63,774","64,202","64,639","65,347","66,045","66,978","67,938","69,900","71,613"
"Vaudreuil-Soulanges, Quebec","104,471","107,477","110,585","114,484","118,381","122,116","126,571","130,749","133,959","137,533","140,912","143,435","145,181","146,859","148,327","150,205","152,689","155,581","158,274","161,328","164,289","166,325"
"Deux-Montagnes, Quebec","84,453","85,256","86,182","87,498","88,469","89,773","91,524","93,758","95,339","96,862","98,229","98,795","99,137","99,439","99,855","100,357","101,654","102,636","103,569","104,491","106,061","107,380"
"Thérèse-De Blainville, Quebec","133,509","135,972","138,783","141,422","143,221","144,993","147,936","149,163","151,355","153,890","155,498","156,287","156,777","156,953","157,147","158,091","159,474","160,856","162,699","164,584","166,913","168,282"
"Mirabel, Quebec","27,998","29,375","30,823","32,290","33,735","35,353","36,770","38,359","39,608","41,091","42,616","44,136","45,847","47,549","49,425","51,086","53,052","55,228","57,557","59,641","62,010","63,881"
"La Rivière-du-Nord, Quebec","92,351","93,979","96,025","98,460","100,809","102,737","105,580","108,253","110,780","113,836","116,603","119,155","121,771","124,199","126,427","129,351","131,584","134,150","136,470","139,077","142,810","145,037"
"Argenteuil, Quebec","29,499","29,778","30,031","30,044","30,152","30,195","30,644","31,085","31,458","31,865","32,371","32,369","32,460","32,394","32,554","32,477","32,705","32,978","33,235","33,805","34,908","36,050"
"Les Pays-d'en-Haut, Quebec","31,675","32,887","33,980","34,913","36,089","36,798","37,815","38,430","39,285","40,050","40,532","41,168","41,180","41,489","41,636","42,039","42,652","43,344","43,886","45,379","47,246","48,344"
"Les Laurentides, Quebec","39,453","40,218","40,829","41,553","42,545","43,124","43,577","44,027","44,634","45,138","45,467","45,533","45,538","45,787","45,830","46,171","46,609","47,226","47,709","48,909","50,210","51,130"
"Antoine-Labelle, Quebec","34,141","34,462","34,818","35,197","35,378","35,635","35,469","35,297","35,272","35,339","35,345","35,483","35,322","35,271","35,318","35,409","35,479","35,499","35,523","35,856","36,730","37,271"
"Papineau, Quebec","20,792","21,069","21,263","21,614","21,843","21,980","21,989","22,157","22,458","22,665","22,771","22,703","22,732","22,796","22,832","22,927","22,923","23,069","23,247","23,744","24,502","25,109"
"Gatineau, Quebec","231,368","233,712","237,451","240,849","243,105","244,746","248,645","253,121","258,199","263,601","268,634","270,929","272,421","273,947","275,247","278,257","280,669","283,827","287,648","289,996","290,564","292,524"
"Les Collines-de-l'Outaouais, Quebec","35,997","37,248","38,476","39,390","40,980","42,501","43,250","44,183","44,917","45,951","46,875","47,471","48,083","48,534","48,877","49,403","50,044","50,589","51,401","52,536","53,956","55,592"
"La Vallée-de-la-Gatineau, Quebec","19,984","20,108","20,332","20,550","20,771","20,922","20,764","20,881","20,807","20,926","20,956","20,950","20,941","20,843","20,670","20,527","20,489","20,528","20,550","20,680","21,051","21,350"
"Pontiac, Quebec","14,825","14,728","14,735","14,789","14,842","14,756","14,653","14,632","14,604","14,509","14,482","14,459","14,363","14,328","14,316","14,271","14,205","14,187","14,161","14,161","14,281","14,404"
"Témiscamingue, Quebec","17,815","17,597","17,419","17,326","17,168","17,078","16,778","16,558","16,490","16,405","16,285","16,354","16,376","16,283","16,151","16,017","15,909","15,838","15,709","15,756","15,901","16,034"
"Rouyn-Noranda, Quebec","40,326","39,999","39,768","39,711","39,981","40,271","40,386","40,612","40,867","41,094","41,461","41,669","41,919","42,147","42,223","42,554","42,851","42,965","43,075","43,098","42,996","43,073"
"Abitibi-Ouest, Quebec","22,324","21,978","21,537","21,197","20,985","20,896","20,918","20,990","21,101","21,096","21,122","21,128","20,989","20,833","20,662","20,584","20,543","20,595","20,581","20,554","20,569","20,454"
"Abitibi, Quebec","25,031","24,687","24,475","24,324","24,382","24,438","24,372","24,405","24,383","24,466","24,567","24,675","24,766","24,874","24,834","24,708","24,911","24,803","24,725","24,804","24,945","25,050"
"La Vallée-de-l'Or, Quebec","43,074","42,548","42,446","42,452","42,288","42,214","42,657","42,843","42,912","42,978","43,302","43,573","43,705","43,597","43,435","43,430","43,395","43,406","43,544","43,710","43,751","43,882"
"La Tuque, Quebec","16,143","15,884","15,663","15,667","15,567","15,535","15,418","15,291","15,267","15,178","15,244","15,236","15,251","15,192","15,158","15,071","15,068","15,086","15,054","15,096","15,125","15,230"
"Le Domaine-du-Roy, Quebec","33,442","33,133","32,745","32,413","32,326","32,143","32,165","32,123","32,060","32,030","32,047","31,835","31,549","31,522","31,389","31,389","31,268","31,135","31,203","31,179","31,309","31,515"
"Maria-Chapdelaine, Quebec","27,378","26,977","26,561","26,255","26,100","25,917","25,734","25,675","25,637","25,411","25,418","25,328","25,253","25,086","24,923","24,778","24,629","24,647","24,505","24,503","24,461","24,507"
"Lac-Saint-Jean-Est, Quebec","52,710","52,284","51,864","51,785","51,552","51,509","51,626","51,913","52,268","52,612","52,935","52,989","53,028","53,007","52,945","52,874","52,931","52,830","52,981","53,119","53,589","53,962"
"Le Saguenay-et-son-Fjord, Quebec","169,739","168,268","167,119","166,194","165,111","164,624","164,638","165,238","165,439","166,194","166,898","167,750","168,068","168,008","167,965","168,035","168,346","168,776","169,343","170,167","170,598","172,346"
"La Haute-Côte-Nord, Quebec","13,133","12,891","12,708","12,658","12,547","12,352","12,193","11,878","11,715","11,656","11,607","11,469","11,350","11,169","11,040","10,899","10,734","10,600","10,533","10,490","10,455","10,387"
"Manicouagan, Quebec","34,197","33,955","33,847","33,768","33,491","33,250","32,943","32,571","32,483","32,380","32,360","32,275","32,142","31,931","31,526","31,055","30,870","30,503","30,335","30,214","30,211","30,217"
"Sept-Rivières-Caniapiscau, Quebec","39,628","38,934","38,671","38,719","38,824","39,004","39,110","39,284","39,364","39,448","39,975","40,318","40,511","40,370","39,844","39,410","38,988","38,908","38,784","38,841","38,778","38,676"
"Minganie-Le Golfe-du-Saint-Laurent, Quebec","12,538","12,274","12,163","12,125","12,080","11,955","11,817","11,706","11,773","11,888","11,809","11,744","11,726","11,643","11,530","11,349","11,232","11,149","11,065","11,060","11,079","11,125"
"Nord-du-Québec, Quebec","39,331","39,294","39,591","39,959","40,152","40,284","40,872","41,353","41,758","42,490","43,015","43,447","43,844","44,095","44,533","44,720","45,086","45,557","45,894","46,186","46,643","46,916"
"Ontario","11,897,534","12,094,174","12,245,039","12,391,421","12,528,663","12,661,878","12,764,806","12,883,583","12,998,345","13,135,778","13,261,381","13,390,632","13,510,781","13,617,553","13,707,118","13,875,394","14,070,141","14,308,697","14,544,701","14,726,022","14,809,257","15,109,416"
"Stormont, Dundas and Glengarry, Ontario","115,326","115,706","116,385","116,521","116,117","115,645","115,431","115,333","115,292","115,464","115,572","115,852","115,757","115,826","116,068","116,458","116,805","117,452","118,296","119,056","119,968","121,288"
"Prescott and Russell, Ontario","79,499","80,388","81,515","82,292","82,844","83,209","83,868","84,755","85,379","86,760","87,825","89,019","89,694","90,390","91,053","91,760","92,516","93,616","95,205","96,955","98,809","100,625"
"Ottawa, Ontario","807,077","819,104","828,460","834,506","840,861","845,893","855,674","869,038","883,301","898,462","911,660","921,644","931,183","940,273","948,461","964,341","983,739","1,004,802","1,025,354","1,044,484","1,052,526","1,071,868"
"Leeds and Grenville, Ontario","100,403","100,927","101,665","101,983","102,326","102,442","102,275","102,148","101,712","101,875","101,778","102,130","102,177","102,211","102,398","102,981","103,217","104,028","104,813","105,417","105,983","106,785"
"Lanark, Ontario","64,999","65,495","65,816","66,029","66,131","65,941","66,109","66,095","66,312","67,000","67,318","67,767","68,272","69,006","69,571","70,434","70,907","71,927","73,201","74,424","75,894","77,454"
"Frontenac, Ontario","144,159","146,202","147,705","148,491","148,615","149,374","149,638","150,612","152,003","153,166","154,198","153,624","153,174","153,231","153,450","154,890","158,021","161,127","162,798","163,977","164,355","167,405"
"Lennox and Addington, Ontario","40,934","41,118","41,361","41,577","41,822","41,900","41,969","42,252","42,368","42,790","42,851","43,607","43,547","43,748","43,869","43,960","44,111","44,408","44,915","45,283","45,774","46,287"
"Hastings, Ontario","132,235","133,515","134,062","135,262","136,190","136,631","137,510","137,952","137,955","138,126","138,359","138,323","138,370","138,358","138,789","140,112","141,738","143,630","145,204","147,000","148,136","150,538"
"Prince Edward, Ontario","25,853","26,146","26,228","26,328","26,429","26,172","25,924","25,855","25,882","25,881","25,797","25,538","25,503","25,359","25,234","25,249","25,278","25,399","25,579","25,830","26,441","26,816"
"Northumberland, Ontario","80,519","81,146","82,042","82,780","83,369","83,479","83,501","83,604","83,721","83,821","84,071","84,757","85,380","85,979","86,806","87,625","88,898","89,514","89,873","90,347","91,236","92,315"
"Peterborough, Ontario","130,847","132,626","134,109","135,336","136,684","137,562","137,453","137,700","137,529","138,284","138,471","138,578","139,165","139,439","139,935","141,708","143,850","146,725","147,327","147,830","148,432","151,043"
"Kawartha Lakes, Ontario","72,008","72,938","74,309","75,360","76,407","76,873","76,175","75,952","75,322","75,082","74,958","75,520","75,728","75,931","76,484","77,296","78,492","79,532","80,409","81,353","82,457","83,355"
"Durham, Ontario","527,619","538,057","550,389","562,356","573,354","584,304","593,909","603,054","610,458","619,314","626,569","634,469","642,394","649,337","656,959","665,990","674,872","685,455","698,265","713,532","728,026","745,580"
"York, Ontario","762,795","807,408","844,355","877,755","904,693","932,066","962,724","991,063","1,016,640","1,044,104","1,065,524","1,086,017","1,105,333","1,120,775","1,131,964","1,144,859","1,149,236","1,161,386","1,182,745","1,199,551","1,208,000","1,224,524"
"Toronto, Ontario","2,583,941","2,602,399","2,592,910","2,587,189","2,588,696","2,608,508","2,612,643","2,626,297","2,649,010","2,675,210","2,704,880","2,737,698","2,764,897","2,789,535","2,798,436","2,819,399","2,862,662","2,917,916","2,963,229","2,984,055","2,955,861","3,025,647"
"Peel, Ontario","1,032,306","1,074,366","1,110,288","1,146,571","1,181,916","1,212,689","1,243,803","1,271,493","1,293,974","1,317,548","1,339,012","1,357,104","1,375,141","1,388,600","1,402,161","1,432,962","1,462,199","1,496,106","1,533,893","1,558,787","1,566,995","1,599,351"
"Dufferin, Ontario","53,090","53,946","54,851","55,775","56,471","56,471","56,986","57,327","57,525","58,051","58,519","58,689","59,297","60,563","62,273","63,711","65,107","66,557","67,484","68,363","69,288","70,175"
"Wellington, Ontario","195,001","197,781","200,423","203,499","206,815","208,385","209,115","210,365","211,462","213,280","214,753","217,923","219,911","222,703","225,451","229,753","233,527","237,335","240,668","244,172","247,178","251,458"
"Halton, Ontario","390,950","403,578","416,375","431,228","445,290","457,668","467,998","480,350","493,704","506,518","517,053","527,297","537,649","546,686","554,847","565,112","572,957","584,025","597,980","610,122","616,666","627,200"
"Hamilton, Ontario","510,157","515,306","519,535","522,134","523,947","523,596","523,918","525,953","528,740","532,232","535,151","538,434","541,715","544,629","547,274","552,272","559,673","566,144","574,343","582,966","587,412","597,010"
"Niagara, Ontario","426,816","430,217","433,254","436,937","439,746","442,477","441,610","440,897","440,841","441,873","442,939","445,373","447,168","449,789","453,563","459,262","465,509","472,108","478,085","481,700","486,570","496,059"
"Haldimand-Norfolk, Ontario","109,554","110,366","111,089","111,929","112,510","112,472","112,137","112,331","112,212","112,064","111,869","111,409","111,310","111,611","112,658","113,974","115,144","118,189","120,067","121,164","123,307","125,404"
"Brant, Ontario","128,937","130,213","131,832","133,491","135,419","136,018","136,715","137,348","138,217","139,039","139,959","140,521","141,411","142,198","143,096","144,465","146,309","148,102","150,311","152,465","155,795","159,508"
"Waterloo, Ontario","456,666","465,303","472,351","481,440","489,540","498,462","503,053","508,236","512,357","517,826","523,681","528,754","533,283","537,229","542,034","553,437","564,985","579,197","592,983","604,683","611,177","633,828"
"Perth, Ontario","76,545","76,931","77,438","77,546","77,426","77,087","76,999","76,962","77,096","77,037","77,135","77,579","77,845","78,089","78,312","78,970","79,896","81,062","82,092","83,160","84,330","85,759"
"Oxford, Ontario","103,208","103,662","104,503","105,115","106,100","106,551","106,435","106,879","107,106","107,839","108,694","110,036","110,661","111,782","112,454","114,055","116,081","118,374","120,495","122,628","125,449","128,479"
"Elgin, Ontario","84,732","85,284","85,898","86,954","87,748","88,615","89,134","89,331","89,140","89,561","89,873","90,015","90,180","90,350","90,622","91,382","92,390","93,532","95,040","96,417","98,092","99,939"
"Chatham-Kent, Ontario","111,909","111,625","111,815","111,809","112,495","112,347","111,162","109,948","108,751","107,500","106,674","106,004","105,492","105,151","104,522","104,771","105,259","105,756","106,074","106,975","108,028","109,049"
"Essex, Ontario","390,809","397,995","402,572","406,321","408,840","409,126","408,034","404,870","401,476","400,207","399,724","401,171","405,080","406,797","407,791","412,050","415,308","421,687","426,042","427,471","426,142","436,061"
"Lambton, Ontario","131,810","132,325","132,457","132,539","132,562","132,539","132,283","132,043","131,722","131,478","131,362","131,064","130,342","129,936","129,453","129,364","129,797","131,275","132,277","132,592","132,552","134,331"
"Middlesex, Ontario","421,985","426,862","430,202","434,091","437,356","440,669","442,636","445,642","447,610","450,142","452,494","455,434","457,497","460,299","463,782","471,332","481,820","493,699","502,557","510,109","515,999","531,933"
"Huron, Ontario","61,985","61,925","61,830","61,692","61,602","61,286","61,063","60,996","60,919","60,704","60,565","59,881","60,052","60,096","60,343","60,732","61,088","62,066","62,597","63,155","64,050","64,757"
"Bruce, Ontario","66,364","66,970","67,355","67,612","67,290","67,433","67,365","67,334","67,218","67,633","67,786","68,088","68,404","68,747","69,216","69,953","70,987","72,069","73,168","74,276","75,859","77,221"
"Grey, Ontario","92,566","93,253","94,166","94,739","95,201","95,353","95,222","95,214","95,058","95,112","94,756","94,840","95,080","95,082","95,288","96,298","97,751","99,096","100,539","101,906","103,603","105,421"
"Simcoe, Ontario","392,849","403,740","414,456","423,962","432,632","438,311","442,119","446,280","449,652","454,268","458,856","465,252","471,307","477,725","484,271","494,224","506,267","517,212","528,259","538,678","550,267","564,946"
"Muskoka, Ontario","55,469","56,396","57,511","58,259","59,029","59,720","59,995","60,502","60,855","61,132","61,225","61,462","61,696","61,854","61,893","62,657","63,839","64,928","65,977","66,528","67,870","69,287"
"Haliburton, Ontario","15,711","15,988","16,307","16,417","16,543","16,615","16,765","16,984","17,042","17,190","17,430","17,797","17,913","18,089","18,252","18,460","18,907","19,130","19,287","19,470","19,889","20,387"
"Renfrew, Ontario","98,852","99,197","99,866","100,476","100,636","101,071","101,869","102,542","103,059","103,519","104,088","104,463","104,634","104,934","104,916","105,129","105,725","106,180","106,855","107,510","108,541","109,308"
"Nipissing, Ontario","86,313","86,577","86,696","86,776","87,316","87,449","87,196","87,092","87,076","87,367","87,492","87,018","86,569","86,271","85,832","85,466","86,363","86,601","86,689","87,012","87,882","90,580"
"Parry Sound, Ontario","41,204","41,509","41,860","42,025","42,253","42,452","42,590","42,919","42,879","43,135","43,226","43,378","43,384","43,377","43,435","43,865","44,127","44,586","44,777","44,936","45,479","46,184"
"Manitoulin, Ontario","12,730","12,797","12,827","12,927","12,937","13,023","13,067","13,193","13,215","13,301","13,341","13,500","13,598","13,551","13,521","13,547","13,584","13,663","13,787","13,874","14,129","14,361"
"Sudbury, Ontario","24,187","23,868","23,518","23,153","22,708","22,506","22,379","22,302","22,155","22,014","21,682","21,782","21,882","21,885","21,999","22,155","22,073","22,078","22,132","22,194","22,420","22,746"
"Greater Sudbury, Ontario","161,140","160,782","161,226","161,673","162,368","163,828","164,398","165,124","165,259","164,831","164,872","165,403","165,801","165,594","165,606","165,988","166,422","168,221","168,703","169,069","169,248","171,568"
"Timiskaming, Ontario","35,700","35,105","34,731","34,742","34,514","34,350","34,317","34,198","33,964","33,955","33,943","33,828","33,689","33,520","33,268","33,045","33,003","33,003","33,083","33,170","33,406","33,564"
"Cochrane, Ontario","89,508","88,371","87,654","87,410","87,205","86,922","86,095","85,124","84,343","83,762","83,291","83,062","83,025","82,645","82,055","81,767","81,077","80,519","80,689","80,427","80,132","80,606"
"Algoma, Ontario","123,765","122,635","122,073","121,694","121,610","121,243","121,078","120,807","120,070","119,791","119,415","118,841","118,509","117,866","117,635","117,586","117,323","117,414","118,141","118,596","118,339","119,620"
"Thunder Bay, Ontario","157,030","156,424","156,427","156,059","155,314","154,168","152,303","151,306","150,569","150,275","150,041","150,171","150,231","150,183","149,723","150,305","150,722","150,967","151,323","151,109","149,626","149,828"
"Rainy River, Ontario","22,940","22,672","22,508","22,361","22,222","22,329","21,979","21,667","21,284","21,076","20,976","20,750","20,654","20,676","20,557","20,674","20,639","20,670","20,576","20,506","20,563","20,564"
"Kenora, Ontario","66,532","67,030","67,834","68,300","68,564","68,648","68,185","68,314","68,911","69,179","69,673","69,766","69,797","69,648","69,538","69,609","69,941","70,229","70,515","70,738","71,076","71,394"
"Manitoba","1,151,454","1,156,680","1,163,596","1,173,238","1,178,264","1,183,562","1,189,451","1,197,775","1,208,556","1,220,780","1,233,649","1,249,975","1,264,620","1,279,014","1,292,227","1,314,139","1,334,790","1,352,825","1,369,954","1,379,888","1,391,979","1,409,223"
"Division No. 1, Manitoba","16,949","17,255","17,627","17,909","18,071","17,850","17,808","17,799","17,738","17,705","17,520","17,574","17,883","18,119","18,236","18,504","18,537","18,590","18,713","18,790","18,801","18,917"
"Division No. 2, Manitoba","53,038","53,890","54,764","56,124","57,606","58,545","60,451","62,162","63,837","65,793","67,519","69,744","71,842","73,720","75,889","77,920","79,508","81,049","82,806","84,389","86,465","88,557"
"Division No. 3, Manitoba","42,802","43,144","43,725","44,433","45,191","45,622","46,981","48,564","50,101","50,811","51,714","52,672","53,589","54,202","55,146","56,465","57,462","58,410","59,493","60,436","61,202","62,185"
"Division No. 4, Manitoba","10,826","10,694","10,523","10,441","10,371","10,191","10,121","10,059","10,027","10,096","10,127","10,141","10,159","10,156","10,123","10,201","10,185","10,283","10,365","10,347","10,436","10,533"
"Division No. 5, Manitoba","14,213","13,986","13,920","13,780","13,668","13,576","13,304","13,251","13,219","13,034","13,104","13,289","13,322","13,391","13,347","13,420","13,361","13,380","13,372","13,373","13,489","13,547"
"Division No. 6, Manitoba","10,390","10,323","10,270","10,233","10,202","10,049","10,024","10,018","10,032","10,086","10,192","10,352","10,489","10,535","10,476","10,557","10,505","10,498","10,565","10,573","10,513","10,488"
"Division No. 7, Manitoba","59,517","59,484","59,877","60,586","61,156","61,768","62,382","63,396","64,201","65,622","66,311","67,141","67,797","68,572","69,483","70,893","72,210","72,971","74,033","74,814","75,062","75,786"
"Division No. 8, Manitoba","14,345","14,263","14,123","13,957","13,819","13,808","13,688","13,711","13,702","13,701","13,668","13,679","13,845","13,896","13,931","13,916","14,118","14,390","14,605","14,660","14,843","14,917"
"Division No. 9, Manitoba","24,082","24,044","24,231","24,691","24,183","23,975","23,878","23,867","23,782","23,927","23,863","23,929","24,125","24,322","24,545","25,014","25,184","25,308","25,470","25,634","25,940","26,295"
"Division No. 10, Manitoba","9,711","9,740","9,888","10,009","10,134","10,190","10,286","10,442","10,573","10,694","10,894","11,023","11,424","11,738","12,059","12,269","12,628","13,054","13,403","13,730","14,159","14,522"
"Division No. 11, Manitoba","639,106","642,619","646,002","650,701","652,367","655,880","658,287","660,856","666,603","672,446","680,857","690,805","698,480","707,447","715,221","729,753","744,607","757,046","767,226","771,404","777,265","787,663"
"Division No. 12, Manitoba","19,780","19,832","20,049","20,257","20,264","20,288","20,687","21,170","21,505","21,829","22,234","22,740","23,168","23,567","23,962","24,243","24,485","24,761","24,996","25,420","26,035","26,631"
"Division No. 13, Manitoba","43,439","43,839","44,232","45,007","45,694","46,025","46,268","46,834","47,229","47,659","48,170","48,709","49,161","49,399","49,772","50,150","50,591","50,980","51,882","52,702","53,421","54,229"
"Division No. 14, Manitoba","18,070","18,023","18,124","18,356","18,528","18,662","18,699","18,646","18,699","18,768","18,793","18,908","19,036","19,103","19,092","19,048","19,212","19,424","19,603","19,744","19,985","20,162"
"Division No. 15, Manitoba","21,686","21,563","21,501","21,410","21,250","21,101","20,873","20,754","20,828","21,012","21,108","21,108","21,367","21,572","21,755","21,838","21,671","21,647","21,718","21,802","21,783","21,845"
"Division No. 16, Manitoba","10,607","10,555","10,551","10,448","10,240","10,186","10,179","10,125","10,046","10,062","10,066","10,138","10,121","10,127","10,025","10,044","10,002","9,941","10,013","10,036","10,095","10,121"
"Division No. 17, Manitoba","23,524","23,359","23,218","23,166","23,148","22,876","22,687","22,652","22,686","22,640","22,463","22,374","22,436","22,322","22,338","22,433","22,289","22,328","22,258","22,209","22,156","22,171"
"Division No. 18, Manitoba","23,270","23,540","24,060","24,139","24,454","24,390","24,283","23,931","23,798","23,931","23,749","23,903","24,207","24,216","24,231","24,607","24,601","24,859","25,232","25,377","25,678","26,017"
"Division No. 19, Manitoba","16,242","16,335","16,571","16,570","16,601","16,856","16,873","17,425","17,498","17,742","17,820","17,715","17,552","17,481","17,229","17,020","17,212","17,587","17,840","18,020","18,181","18,390"
"Division No. 20, Manitoba","11,296","11,231","10,936","10,898","10,758","10,641","10,522","10,372","10,215","10,184","10,057","9,965","9,918","9,833","9,767","9,789","9,846","9,785","9,677","9,594","9,596","9,524"
"Division No. 21, Manitoba","23,181","23,021","23,025","22,790","22,425","22,216","21,869","21,880","22,017","22,060","21,996","22,229","22,409","22,520","22,475","22,636","22,638","22,472","22,418","22,369","22,361","22,245"
"Division No. 22, Manitoba","36,178","36,949","37,808","38,805","39,595","40,318","40,762","41,193","41,484","42,148","42,388","42,614","42,980","43,428","43,776","44,018","44,371","44,457","44,543","44,667","44,627","44,666"
"Division No. 23, Manitoba","9,202","8,991","8,571","8,528","8,539","8,549","8,539","8,668","8,736","8,830","9,036","9,223","9,310","9,348","9,349","9,401","9,567","9,605","9,723","9,798","9,886","9,812"
"Saskatchewan","1,000,239","996,807","996,386","997,283","993,500","992,314","1,002,086","1,017,404","1,034,819","1,051,443","1,066,026","1,083,755","1,099,736","1,112,979","1,120,967","1,135,987","1,150,331","1,161,767","1,172,479","1,178,467","1,181,493","1,194,803"
"Division No. 1, Saskatchewan","30,835","30,537","30,396","30,058","29,897","29,893","30,427","30,856","31,383","31,913","32,319","32,653","33,133","33,405","33,039","32,726","32,525","32,382","32,220","31,849","31,552","31,327"
"Division No. 2, Saskatchewan","22,053","21,780","21,562","21,250","20,970","20,811","20,974","21,415","21,885","22,412","22,836","23,098","23,306","23,472","23,449","23,480","23,405","23,362","23,248","23,109","22,894","22,875"
"Division No. 3, Saskatchewan","15,119","14,803","14,382","14,056","13,654","13,338","13,230","13,194","13,098","13,066","12,941","12,833","12,845","12,926","12,846","12,901","12,938","12,873","12,641","12,508","12,409","12,435"
"Division No. 4, Saskatchewan","11,956","11,752","11,679","11,502","11,470","11,284","11,369","11,355","11,356","11,275","11,170","11,143","11,134","11,077","11,006","11,167","11,169","11,066","11,016","10,942","10,953","10,997"
"Division No. 5, Saskatchewan","33,155","32,675","32,335","31,870","31,430","31,097","31,200","31,654","32,051","32,493","32,784","32,543","32,802","32,755","32,608","32,506","32,452","32,368","32,149","31,930","31,807","31,836"
"Division No. 6, Saskatchewan","223,895","223,550","224,527","225,440","225,464","226,353","228,488","231,918","236,661","241,131","245,447","252,279","258,089","262,843","266,239","272,367","278,240","283,462","288,111","290,318","291,333","295,662"
"Division No. 7, Saskatchewan","47,891","47,511","47,611","47,570","46,938","46,429","46,540","46,978","47,391","47,549","47,895","48,024","48,059","48,058","48,101","48,558","48,793","48,890","48,590","48,334","48,056","48,108"
"Division No. 8, Saskatchewan","31,262","30,730","30,500","30,382","29,997","29,812","29,763","30,050","30,355","30,711","30,708","30,776","30,988","31,221","31,344","31,571","31,773","31,836","31,850","31,658","31,541","31,616"
"Division No. 9, Saskatchewan","37,591","37,181","36,647","36,364","35,702","35,375","35,398","35,691","35,974","36,136","36,070","36,465","36,702","36,774","36,442","36,578","36,579","36,424","36,305","36,057","36,043","36,152"
"Division No. 10, Saskatchewan","19,741","19,432","19,037","18,762","18,355","17,957","17,878","17,902","18,163","18,014","17,925","17,575","17,510","17,258","17,100","16,908","16,775","16,624","16,508","16,311","16,325","16,352"
"Division No. 11, Saskatchewan","242,960","244,518","245,847","247,964","249,249","251,134","255,235","260,650","267,144","273,902","280,739","289,597","296,505","302,687","307,794","316,013","323,914","330,978","338,056","344,251","347,184","354,737"
"Division No. 12, Saskatchewan","24,228","23,828","23,601","23,451","22,939","22,919","23,135","23,246","23,400","23,685","23,807","23,908","24,015","24,297","24,408","24,624","24,664","24,598","24,528","24,377","24,463","24,616"
"Division No. 13, Saskatchewan","24,541","24,142","23,581","23,432","23,159","22,848","23,161","23,473","23,534","23,751","23,664","23,841","23,886","23,968","23,951","23,817","23,680","23,402","23,267","23,072","22,892","22,839"
"Division No. 14, Saskatchewan","40,284","39,599","39,190","38,694","38,049","37,189","37,185","37,554","37,793","38,039","38,038","37,786","37,645","37,612","37,233","36,985","36,916","36,664","36,430","36,059","35,981","36,127"
"Division No. 15, Saskatchewan","82,347","82,033","81,799","81,824","81,325","80,730","81,584","82,919","84,142","85,243","86,049","86,510","87,049","87,460","87,983","88,540","89,224","89,390","89,836","90,010","89,912","90,220"
"Division No. 16, Saskatchewan","38,460","38,504","38,494","38,365","38,153","37,919","37,946","38,320","38,733","38,906","38,851","38,990","39,145","39,063","38,977","39,042","38,885","38,708","38,458","38,251","38,131","38,238"
"Division No. 17, Saskatchewan","41,082","40,995","41,499","42,052","42,249","42,221","43,139","43,977","44,756","45,454","46,477","47,404","48,439","49,414","49,694","49,481","49,558","49,638","50,033","50,067","50,277","50,533"
"Division No. 18, Saskatchewan","32,839","33,237","33,699","34,247","34,500","35,005","35,434","36,252","37,000","37,763","38,306","38,330","38,484","38,689","38,753","38,723","38,841","39,102","39,233","39,364","39,740","40,133"
