"Population estimates, July 1, by census division, 2016 boundaries 1 2 3 4 5 6"
"Frequency: Annual"
"Table: 17-10-0139-01"
"Release date: 2023-01-11"
"Geography: Canada, Province or territory, Census division"
""
""

"Sex","Both sexes",,,,,,,,,,,,,,,,,,,,,
"Age group 7","All ages",,,,,,,,,,,,,,,,,,,,,
"Geography","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
,"Persons",,,,,,,,,,,,,,,,,,,,,
"Canada","31,020,902","31,360,079","31,644,028","31,940,655","32,243,753","32,571,174","32,889,025","33,247,118","33,628,895","34,004,889","34,339,328","34,714,222","35,082,954","35,437,435","35,702,908","36,109,487","36,545,236","37,065,084","37,601,230","38,007,166","38,226,498","38,929,902"
"Colchester, Nova Scotia","50,678","50,944","51,247","51,408","51,393","51,280","51,347","51,562","51,909","51,924","52,117","52,013","51,793","51,482","51,150","51,492","51,414","51,530","51,743","52,010","52,276","53,178"
"Cumberland, Nova Scotia","33,442","33,285","33,101","32,978","32,862","32,762","32,551","32,430","32,310","32,089","31,942","31,545","31,134","30,898","30,625","30,440","30,399","30,300","30,201","30,180","30,410","30,803"
"Pictou, Nova Scotia","48,234","48,029","48,081","48,078","47,987","47,617","47,060","46,725","46,700","46,695","46,586","46,252","45,790","45,286","44,739","44,437","44,270","44,123","44,123","44,166","44,486","45,087"
"Guysborough, Nova Scotia","10,060","9,833","9,688","9,518","9,354","9,219","8,949","8,742","8,589","8,367","8,276","8,206","8,023","7,860","7,729","7,709","7,607","7,484","7,438","7,363","7,388","7,463"
"Antigonish, Nova Scotia","20,082","19,904","19,690","19,578","19,501","19,332","19,413","19,536","19,705","19,954","20,039","19,925","19,702","19,570","19,559","19,630","19,679","19,743","19,925","20,169","20,275","20,629"
"Inverness, Nova Scotia","20,445","20,309","20,128","20,029","19,764","19,427","18,909","18,619","18,421","18,438","18,266","18,002","17,747","17,576","17,455","17,480","17,470","17,362","17,347","17,338","17,414","17,616"
"Richmond, Nova Scotia","10,489","10,316","10,196","10,123","10,050","9,940","9,769","9,685","9,646","9,606","9,437","9,379","9,269","9,147","9,058","9,094","9,100","9,127","9,083","9,075","9,078","9,155"
"Cape Breton, Nova Scotia","112,046","110,949","110,377","110,407","109,039","108,208","106,818","105,813","105,056","104,463","103,645","103,125","102,263","101,598","100,697","100,367","99,647","99,564","100,999","100,255","97,918","98,808"
"Victoria, Nova Scotia","8,167","8,127","8,091","7,990","7,899","7,750","7,634","7,524","7,419","7,341","7,248","7,159","7,165","7,189","7,196","7,183","7,153","7,132","7,079","7,023","7,093","7,147"
"New Brunswick","749,820","749,372","749,441","749,419","748,057","745,621","745,433","746,877","749,956","753,035","755,705","758,378","758,544","758,976","758,842","763,350","766,621","770,301","777,128","782,996","790,398","812,061"
"Saint John, New Brunswick","78,558","77,945","77,575","77,166","76,380","76,103","76,087","76,213","76,789","77,068","77,088","76,785","76,210","75,457","75,202","75,705","76,218","76,888","77,523","77,972","78,438","80,399"
"Charlotte, New Brunswick","28,135","28,126","28,086","28,096","28,052","27,574","27,324","27,100","27,025","26,780","26,650","26,525","26,325","26,137","25,928","25,911","25,938","25,933","26,016","26,071","26,185","26,754"
"Sunbury, New Brunswick","26,506","26,549","26,607","26,711","26,572","26,206","26,316","26,572","26,809","27,229","27,558","27,970","28,086","28,160","28,135","28,369","28,604","28,808","28,925","28,941","29,132","29,730"
"Queens, New Brunswick","12,185","12,157","12,144","12,155","12,104","11,853","11,618","11,441","11,242","11,171","11,080","11,030","10,916","10,821","10,696","10,622","10,555","10,446","10,313","10,308","10,373","10,563"
"Kings, New Brunswick","65,961","66,267","66,470","66,727","67,000","67,194","67,740","68,293","68,956","69,517","70,046","70,180","70,181","70,244","70,192","70,289","70,242","70,373","70,718","71,191","71,584","72,683"
"Albert, New Brunswick","27,516","27,583","27,815","27,909","28,056","28,150","28,275","28,438","28,738","28,970","29,002","29,234","29,342","29,522","29,580","29,768","29,761","29,875","30,103","30,331","30,790","31,639"
"Westmorland, New Brunswick","128,324","130,030","131,638","133,469","134,566","136,209","137,423","139,176","141,192","143,271","145,586","147,835","149,060","150,613","151,277","153,477","155,498","157,713","161,303","164,844","168,819","178,054"
"Kent, New Brunswick","32,260","32,301","32,312","32,297","32,257","32,018","31,759","31,647","31,317","31,185","30,888","30,979","30,885","30,950","30,957","31,072","31,078","31,162","31,471","31,728","32,218","33,027"
"Northumberland, New Brunswick","50,690","50,207","49,829","49,481","49,076","48,345","47,867","47,361","46,913","46,698","46,302","46,310","46,187","45,953","45,813","45,777","45,586","45,456","45,457","45,366","45,793","46,642"
"York, New Brunswick","88,845","89,659","90,273","90,834","91,255","92,297","92,982","93,974","95,516","96,848","98,146","98,545","99,439","99,931","100,500","101,961","103,573","105,079","106,847","108,260","109,227","112,768"
"Carleton, New Brunswick","27,919","27,917","27,764","27,649","27,479","27,169","27,179","27,314","27,343","27,171","27,142","27,099","27,044","26,878","26,710","26,711","26,616","26,618","26,781","26,846","26,905","27,346"
"Victoria, New Brunswick","21,736","21,500","21,454","21,210","21,137","20,703","20,505","20,323","20,150","20,039","19,967","19,821","19,484","19,285","19,038","18,948","18,723","18,517","18,491","18,407","18,439","18,738"
"Madawaska, New Brunswick","36,567","36,393","36,077","35,852","35,541","34,734","34,444","34,109","33,866","33,711","33,529","33,588","33,404","33,373","33,341","33,353","33,317","33,234","33,197","33,116","33,135","33,549"
"Restigouche, New Brunswick","37,061","36,359","36,031","35,434","34,977","34,402","33,942","33,569","33,151","32,771","32,608","32,324","32,013","31,835","31,660","31,499","31,307","31,076","30,953","30,775","30,600","30,748"
"Gloucester, New Brunswick","87,557","86,379","85,366","84,429","83,605","82,664","81,972","81,347","80,949","80,606","80,113","80,153","79,968","79,817","79,813","79,888","79,605","79,123","79,030","78,840","78,760","79,421"
"Quebec","7,396,456","7,441,656","7,485,753","7,535,590","7,581,476","7,631,966","7,692,916","7,761,725","7,843,383","7,929,222","8,005,090","8,061,101","8,110,880","8,150,183","8,175,272","8,225,950","8,302,063","8,401,738","8,503,483","8,576,595","8,602,335","8,695,659"
